,Unnamed: 0,index,LOCATION,TIME,Japan_unemployment_rate,time_close,BTC_closing_price,yfit,xfit
12,,,,,,,,2.931555773125532,650.5759459459459
13,,,,,,,,2.924245099099939,691.9092192192193
14,,,,,,,,2.91701360831533,733.2424924924925
15,,,,,,,,2.9098609149389865,774.5757657657658
16,,,,,,,,2.90278663390907,815.909039039039
17,,,,,,,,2.895790380934622,857.2423123123123
18,,,,,,,,2.8888717724955635,898.5755855855856
19,,,,,,,,2.8820304258426965,939.9088588588588
20,,,,,,,,2.8752659589977014,981.2421321321322
21,,,,,,,,2.86857799075314,1022.5754054054054
22,,,,,,,,2.861966140672454,1063.9086786786786
23,,,,,,,,2.8554300290899635,1105.241951951952
24,,,,,,,,2.84896927711087,1146.575225225225
25,,,,,,,,2.842583506611255,1187.9084984984984
26,,,,,,,,2.836272340238079,1229.2417717717717
27,,,,,,,,2.8300354014091837,1270.5750450450448
28,,,,,,,,2.823872314313289,1311.9083183183182
29,,,,,,,,2.8177827039099963,1353.2415915915915
30,,,,,,,,2.811766195929787,1394.5748648648648
31,,,,,,,,2.805822416874021,1435.908138138138
32,,,,,,,,2.79995099401494,1477.2414114114113
33,,,,,,,,2.794151555395664,1518.5746846846846
34,,,,,,,,2.788423729830194,1559.9079579579577
35,,,,,,,,2.7827671469034105,1601.241231231231
36,,,,,,,,2.777181436971074,1642.5745045045044
37,,,,,,,,2.771666231159826,1683.9077777777777
38,,,,,,,,2.766221161367186,1725.2410510510508
39,,,,,,,,2.7608458602615547,1766.5743243243242
40,,,,,,,,2.7555399612822127,1807.9075975975975
41,,,,,,,,2.7503030986393204,1849.2408708708706
42,,,,,,,,2.7451349073139184,1890.574144144144
43,,,,,,,,2.7400350230579265,1931.9074174174173
44,,,,,,,,2.7350030823941456,1973.2406906906906
45,,,,,,,,2.730038722616255,2014.5739639639637
46,,,,,,,,2.7251415817888156,2055.907237237237
47,,,,,,,,2.7203112987472675,2097.2405105105104
48,,,,,,,,2.7155475130979307,2138.5737837837837
49,,,,,,,,2.7108498652180053,2179.907057057057
