,index,LOCATION,TIME,Germany_unemployment_rate,time_close,BTC_closing_price
34,667,DEU,2018-02-01,3.5,2018-02-28 00:00:00+00:00,6633.079999999999
35,668,DEU,2018-03-01,3.5,2018-03-31 00:00:00+00:00,6785.493333333333
36,669,DEU,2018-04-01,3.4,2018-04-30 00:00:00+00:00,5766.466666666667
37,670,DEU,2018-05-01,3.4,2018-05-31 00:00:00+00:00,6420.746666666667
38,671,DEU,2018-06-01,3.4,2018-06-30 00:00:00+00:00,5078.599999999999
39,672,DEU,2018-07-01,3.4,2018-07-31 00:00:00+00:00,5157.97
40,673,DEU,2018-08-01,3.4,2018-08-31 00:00:00+00:00,5311.5650000000005
41,674,DEU,2018-09-01,3.4,2018-09-30 00:00:00+00:00,4960.323333333334
42,675,DEU,2018-10-01,3.3,2018-10-31 00:00:00+00:00,4997.333333333333
43,676,DEU,2018-11-01,3.3,2018-11-30 00:00:00+00:00,3994.5
44,677,DEU,2018-12-01,3.3,2018-12-31 00:00:00+00:00,2912.8566666666666
45,678,DEU,2019-01-01,3.3,2019-01-31 00:00:00+00:00,2866.2566666666667
46,679,DEU,2019-02-01,3.2,2019-02-28 00:00:00+00:00,2763.476666666667
47,680,DEU,2019-03-01,3.2,2019-03-31 00:00:00+00:00,3065.156666666667
48,681,DEU,2019-04-01,3.2,2019-04-30 00:00:00+00:00,4040.2000000000003
49,682,DEU,2019-05-01,3.1,2019-05-31 00:00:00+00:00,5750.463333333333
50,683,DEU,2019-06-01,3.1,2019-06-30 00:00:00+00:00,7522.53
51,684,DEU,2019-07-01,3.1,2019-07-31 00:00:00+00:00,8224.346666666666
52,685,DEU,2019-08-01,3.1,2019-08-31 00:00:00+00:00,8805.886666666667
53,686,DEU,2019-09-01,3.1,2019-09-30 00:00:00+00:00,7895.406666666666
54,687,DEU,2019-10-01,3.1,2019-10-31 00:00:00+00:00,6597.956666666666
55,688,DEU,2019-11-01,3.2,2019-11-30 00:00:00+00:00,6469.213333333333
56,689,DEU,2019-12-01,3.3,2019-12-31 00:00:00+00:00,5474.086666666666
57,690,DEU,2020-01-01,3.4,2020-01-31 00:00:00+00:00,6082.556666666666
58,691,DEU,2020-02-01,3.5,2020-02-29 00:00:00+00:00,7530.593333333333
59,692,DEU,2020-03-01,3.6,2020-03-31 00:00:00+00:00,5720.506666666667
60,693,DEU,2020-04-01,3.7,2020-04-30 00:00:00+00:00,5614.063333333334
61,694,DEU,2020-05-01,3.8,2020-05-31 00:00:00+00:00,7320.54
62,695,DEU,2020-06-01,3.9,2020-06-30 00:00:00+00:00,7693.09
63,696,DEU,2020-07-01,4.0,2020-07-31 00:00:00+00:00,7717.5375
64,697,DEU,2020-08-01,4.1,2020-08-31 00:00:00+00:00,8968.646666666667
65,698,DEU,2020-09-01,4.1,2020-09-30 00:00:00+00:00,8304.48
66,699,DEU,2020-10-01,4.1,2020-10-31 00:00:00+00:00,9331.256666666666
67,700,DEU,2020-11-01,4.1,2020-11-30 00:00:00+00:00,12850.81
68,701,DEU,2020-12-01,4.0,2020-12-31 00:00:00+00:00,16988.72333333333
69,702,DEU,2021-01-01,3.9,2021-01-31 00:00:00+00:00,25970.106666666663
70,703,DEU,2021-02-01,3.9,2021-02-28 00:00:00+00:00,32549.943333333333
71,704,DEU,2021-03-01,3.8,2021-03-31 00:00:00+00:00,39925.35666666667
72,705,DEU,2021-04-01,3.7,2021-04-30 00:00:00+00:00,41446.51666666666
73,706,DEU,2021-05-01,3.6,2021-05-31 00:00:00+00:00,33007.263333333336
74,707,DEU,2021-06-01,3.5,2021-06-30 00:00:00+00:00,25347.843333333334
75,708,DEU,2021-07-01,3.4,2021-07-31 00:00:00+00:00,24324.596666666668
76,709,DEU,2021-08-01,3.4,2021-08-31 00:00:00+00:00,32926.090000000004
77,710,DEU,2021-09-01,3.3,2021-09-30 00:00:00+00:00,33857.72
78,711,DEU,2021-10-01,3.3,2021-10-31 00:00:00+00:00,40583.986666666664
