,Unnamed: 0,LOCATION,TIME,Japan_inflation_rate,index,time_close,ETH_closing_price,yfit,xfit
174,,,,,,,,0.39185867680731296,590.7675895895895
175,,,,,,,,0.39185610248780856,594.1242430163496
176,,,,,,,,0.39185339234906574,597.4808964431098
177,,,,,,,,0.39185054015645543,600.8375498698699
178,,,,,,,,0.39184753943316175,604.19420329663
179,,,,,,,,0.39184438345258127,607.5508567233901
180,,,,,,,,0.3918410652305473,610.9075101501502
181,,,,,,,,0.39183757751737625,614.2641635769103
182,,,,,,,,0.3918339127897354,617.6208170036704
183,,,,,,,,0.3918300632423281,620.9774704304305
184,,,,,,,,0.39182602077939654,624.3341238571905
185,,,,,,,,0.3918217770060376,627.6907772839506
186,,,,,,,,0.39181732321933205,631.0474307107107
187,,,,,,,,0.39181265039928354,634.4040841374708
188,,,,,,,,0.39180774919956585,637.7607375642309
189,,,,,,,,0.3918026099380771,641.117390990991
190,,,,,,,,0.39179722258729804,644.4740444177511
191,,,,,,,,0.3917915767644535,647.8306978445112
192,,,,,,,,0.39178566172147394,651.1873512712713
193,,,,,,,,0.39177946633475774,654.5440046980314
194,,,,,,,,0.391772979094729,657.9006581247914
195,,,,,,,,0.3917661880951927,661.2573115515515
196,,,,,,,,0.3917590810224832,664.6139649783116
197,,,,,,,,0.3917516451444057,667.9706184050717
198,,,,,,,,0.3917438672989685,671.3272718318318
199,,,,,,,,0.39173573388290517,674.6839252585919
200,,,,,,,,0.3917272308399849,678.040578685352
201,,,,,,,,0.3917183436491093,681.3972321121121
202,,,,,,,,0.3917090573121955,684.7538855388722
203,,,,,,,,0.39169935634184294,688.1105389656323
204,,,,,,,,0.3916892247487838,691.4671923923923
205,,,,,,,,0.39167864602911506,694.8238458191524
206,,,,,,,,0.39166760315131227,698.1804992459125
207,,,,,,,,0.39165607854302265,701.5371526726726
208,,,,,,,,0.3916440540776381,704.8938060994327
209,,,,,,,,0.39163151106064603,708.2504595261929
210,,,,,,,,0.39161843021575843,711.607112952953
211,,,,,,,,0.39160479167081724,714.9637663797131
212,,,,,,,,0.3915905749434768,718.3204198064732
213,,,,,,,,0.3915757589266618,721.6770732332333
214,,,,,,,,0.3915603218738009,725.0337266599934
215,,,,,,,,0.3915442413838355,728.3903800867535
216,,,,,,,,0.39152749438600326,731.7470335135135
217,,,,,,,,0.391510057124397,735.1036869402736
218,,,,,,,,0.3914919051422976,738.4603403670337
219,,,,,,,,0.391473013266282,741.8169937937938
220,,,,,,,,0.39145335559010624,745.1736472205539
221,,,,,,,,0.3914329054583636,748.530300647314
222,,,,,,,,0.39141163544991797,751.8869540740741
223,,,,,,,,0.39138951736111344,755.2436075008342
224,,,,,,,,0.3913665221887602,758.6002609275943
225,,,,,,,,0.3913426201128978,761.9569143543544
226,,,,,,,,0.3913177804793358,765.3135677811144
227,,,,,,,,0.39129197178197395,768.6702212078745
228,,,,,,,,0.39126516164490144,772.0268746346346
229,,,,,,,,0.3912373168042772,775.3835280613947
230,,,,,,,,0.3912084030899927,778.7401814881548
