,Unnamed: 0,LOCATION,TIME,unemployment_rate,index,time_close,closing_price,yfit,xfit,Regression
271,,,,,,,,3.740887098,916.362972,Germany-Ethereum
272,,,,,,,,3.741990191,919.7196254,Germany-Ethereum
273,,,,,,,,3.743089091,923.0762788,Germany-Ethereum
274,,,,,,,,3.744183729,926.4329323,Germany-Ethereum
275,,,,,,,,3.745274037,929.7895857,Germany-Ethereum
276,,,,,,,,3.746359946,933.1462391,Germany-Ethereum
277,,,,,,,,3.747441388,936.5028925,Germany-Ethereum
278,,,,,,,,3.748518297,939.859546,Germany-Ethereum
279,,,,,,,,3.749590605,943.2161994,Germany-Ethereum
280,,,,,,,,3.750658245,946.5728528,Germany-Ethereum
281,,,,,,,,3.751721151,949.9295063,Germany-Ethereum
282,,,,,,,,3.752779257,953.2861597,Germany-Ethereum
283,,,,,,,,3.753832498,956.6428131,Germany-Ethereum
284,,,,,,,,3.754880807,959.9994665,Germany-Ethereum
285,,,,,,,,3.755924122,963.35612,Germany-Ethereum
286,,,,,,,,3.756962376,966.7127734,Germany-Ethereum
287,,,,,,,,3.757995506,970.0694268,Germany-Ethereum
288,,,,,,,,3.759023448,973.4260802,Germany-Ethereum
289,,,,,,,,3.760046139,976.7827337,Germany-Ethereum
290,,,,,,,,3.761063515,980.1393871,Germany-Ethereum
291,,,,,,,,3.762075515,983.4960405,Germany-Ethereum
292,,,,,,,,3.763082076,986.8526939,Germany-Ethereum
293,,,,,,,,3.764083136,990.2093474,Germany-Ethereum
294,,,,,,,,3.765078633,993.5660008,Germany-Ethereum
295,,,,,,,,3.766068507,996.9226542,Germany-Ethereum
296,,,,,,,,3.767052696,1000.279308,Germany-Ethereum
297,,,,,,,,3.768031141,1003.635961,Germany-Ethereum
298,,,,,,,,3.769003781,1006.992615,Germany-Ethereum
299,,,,,,,,3.769970556,1010.349268,Germany-Ethereum
300,,,,,,,,3.770931408,1013.705921,Germany-Ethereum
301,,,,,,,,3.771886278,1017.062575,Germany-Ethereum
302,,,,,,,,3.772835106,1020.419228,Germany-Ethereum
303,,,,,,,,3.773777836,1023.775882,Germany-Ethereum
304,,,,,,,,3.774714408,1027.132535,Germany-Ethereum
305,,,,,,,,3.775644766,1030.489188,Germany-Ethereum
306,,,,,,,,3.776568852,1033.845842,Germany-Ethereum
307,,,,,,,,3.777486611,1037.202495,Germany-Ethereum
308,,,,,,,,3.778397985,1040.559149,Germany-Ethereum
309,,,,,,,,3.779302919,1043.915802,Germany-Ethereum
310,,,,,,,,3.780201357,1047.272456,Germany-Ethereum
311,,,,,,,,3.781093244,1050.629109,Germany-Ethereum
312,,,,,,,,3.781978525,1053.985762,Germany-Ethereum
313,,,,,,,,3.782857146,1057.342416,Germany-Ethereum
314,,,,,,,,3.783729053,1060.699069,Germany-Ethereum
315,,,,,,,,3.784594192,1064.055723,Germany-Ethereum
316,,,,,,,,3.78545251,1067.412376,Germany-Ethereum
317,,,,,,,,3.786303953,1070.76903,Germany-Ethereum
318,,,,,,,,3.787148469,1074.125683,Germany-Ethereum
319,,,,,,,,3.787986007,1077.482336,Germany-Ethereum
320,,,,,,,,3.788816513,1080.83899,Germany-Ethereum
321,,,,,,,,3.789639937,1084.195643,Germany-Ethereum
322,,,,,,,,3.790456228,1087.552297,Germany-Ethereum
323,,,,,,,,3.791265335,1090.90895,Germany-Ethereum
324,,,,,,,,3.792067207,1094.265604,Germany-Ethereum
325,,,,,,,,3.792861795,1097.622257,Germany-Ethereum
326,,,,,,,,3.793649049,1100.97891,Germany-Ethereum
327,,,,,,,,3.79442892,1104.335564,Germany-Ethereum
328,,,,,,,,3.795201359,1107.692217,Germany-Ethereum
329,,,,,,,,3.795966317,1111.048871,Germany-Ethereum
330,,,,,,,,3.796723746,1114.405524,Germany-Ethereum
331,,,,,,,,3.797473599,1117.762178,Germany-Ethereum
332,,,,,,,,3.798215828,1121.118831,Germany-Ethereum
333,,,,,,,,3.798950386,1124.475484,Germany-Ethereum
334,,,,,,,,3.799677227,1127.832138,Germany-Ethereum
335,,,,,,,,3.800396305,1131.188791,Germany-Ethereum
