areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,18/12/2020,514
K02000001,United Kingdom,overview,17/12/2020,538
K02000001,United Kingdom,overview,16/12/2020,433
K02000001,United Kingdom,overview,15/12/2020,459
K02000001,United Kingdom,overview,14/12/2020,479
K02000001,United Kingdom,overview,13/12/2020,418
K02000001,United Kingdom,overview,12/12/2020,437
K02000001,United Kingdom,overview,11/12/2020,453
K02000001,United Kingdom,overview,10/12/2020,447
K02000001,United Kingdom,overview,09/12/2020,431
K02000001,United Kingdom,overview,08/12/2020,435
K02000001,United Kingdom,overview,07/12/2020,420
K02000001,United Kingdom,overview,06/12/2020,420
K02000001,United Kingdom,overview,05/12/2020,395
K02000001,United Kingdom,overview,04/12/2020,475
K02000001,United Kingdom,overview,03/12/2020,474
K02000001,United Kingdom,overview,02/12/2020,386
K02000001,United Kingdom,overview,01/12/2020,399
K02000001,United Kingdom,overview,30/11/2020,423
K02000001,United Kingdom,overview,29/11/2020,465
K02000001,United Kingdom,overview,28/11/2020,467
K02000001,United Kingdom,overview,27/11/2020,425
K02000001,United Kingdom,overview,26/11/2020,433
K02000001,United Kingdom,overview,25/11/2020,484
K02000001,United Kingdom,overview,24/11/2020,461
K02000001,United Kingdom,overview,23/11/2020,464
K02000001,United Kingdom,overview,22/11/2020,475
K02000001,United Kingdom,overview,21/11/2020,466
K02000001,United Kingdom,overview,20/11/2020,454
K02000001,United Kingdom,overview,19/11/2020,461
K02000001,United Kingdom,overview,18/11/2020,487
K02000001,United Kingdom,overview,17/11/2020,440
K02000001,United Kingdom,overview,16/11/2020,423
K02000001,United Kingdom,overview,15/11/2020,454
K02000001,United Kingdom,overview,14/11/2020,431
K02000001,United Kingdom,overview,13/11/2020,436
K02000001,United Kingdom,overview,12/11/2020,421
K02000001,United Kingdom,overview,11/11/2020,391
K02000001,United Kingdom,overview,10/11/2020,391
K02000001,United Kingdom,overview,09/11/2020,482
K02000001,United Kingdom,overview,08/11/2020,415
K02000001,United Kingdom,overview,07/11/2020,392
K02000001,United Kingdom,overview,06/11/2020,401
K02000001,United Kingdom,overview,05/11/2020,380
K02000001,United Kingdom,overview,04/11/2020,329
K02000001,United Kingdom,overview,03/11/2020,361
K02000001,United Kingdom,overview,02/11/2020,337
K02000001,United Kingdom,overview,01/11/2020,359
K02000001,United Kingdom,overview,31/10/2020,320
K02000001,United Kingdom,overview,30/10/2020,339
K02000001,United Kingdom,overview,29/10/2020,313
K02000001,United Kingdom,overview,28/10/2020,287
K02000001,United Kingdom,overview,27/10/2020,266
K02000001,United Kingdom,overview,26/10/2020,280
K02000001,United Kingdom,overview,25/10/2020,250
K02000001,United Kingdom,overview,24/10/2020,213
K02000001,United Kingdom,overview,23/10/2020,223
K02000001,United Kingdom,overview,22/10/2020,236
K02000001,United Kingdom,overview,21/10/2020,221
K02000001,United Kingdom,overview,20/10/2020,197
K02000001,United Kingdom,overview,19/10/2020,192
K02000001,United Kingdom,overview,18/10/2020,160
K02000001,United Kingdom,overview,17/10/2020,178
K02000001,United Kingdom,overview,16/10/2020,150
K02000001,United Kingdom,overview,15/10/2020,151
K02000001,United Kingdom,overview,14/10/2020,116
K02000001,United Kingdom,overview,13/10/2020,111
K02000001,United Kingdom,overview,12/10/2020,113
K02000001,United Kingdom,overview,11/10/2020,124
K02000001,United Kingdom,overview,10/10/2020,104
K02000001,United Kingdom,overview,09/10/2020,79
K02000001,United Kingdom,overview,08/10/2020,93
K02000001,United Kingdom,overview,07/10/2020,102
K02000001,United Kingdom,overview,06/10/2020,71
K02000001,United Kingdom,overview,05/10/2020,72
K02000001,United Kingdom,overview,04/10/2020,60
K02000001,United Kingdom,overview,03/10/2020,67
K02000001,United Kingdom,overview,02/10/2020,69
K02000001,United Kingdom,overview,01/10/2020,66
K02000001,United Kingdom,overview,30/09/2020,57
K02000001,United Kingdom,overview,29/09/2020,48
K02000001,United Kingdom,overview,28/09/2020,54
K02000001,United Kingdom,overview,27/09/2020,47
K02000001,United Kingdom,overview,26/09/2020,39
K02000001,United Kingdom,overview,25/09/2020,32
K02000001,United Kingdom,overview,24/09/2020,35
K02000001,United Kingdom,overview,23/09/2020,57
K02000001,United Kingdom,overview,22/09/2020,39
K02000001,United Kingdom,overview,21/09/2020,27
K02000001,United Kingdom,overview,20/09/2020,32
K02000001,United Kingdom,overview,19/09/2020,20
K02000001,United Kingdom,overview,18/09/2020,24
K02000001,United Kingdom,overview,17/09/2020,27
K02000001,United Kingdom,overview,16/09/2020,26
K02000001,United Kingdom,overview,15/09/2020,18
K02000001,United Kingdom,overview,14/09/2020,21
K02000001,United Kingdom,overview,13/09/2020,16
K02000001,United Kingdom,overview,12/09/2020,18
K02000001,United Kingdom,overview,11/09/2020,13
K02000001,United Kingdom,overview,10/09/2020,13
K02000001,United Kingdom,overview,09/09/2020,9
K02000001,United Kingdom,overview,08/09/2020,9
K02000001,United Kingdom,overview,07/09/2020,15
K02000001,United Kingdom,overview,06/09/2020,8
K02000001,United Kingdom,overview,05/09/2020,13
K02000001,United Kingdom,overview,04/09/2020,7
K02000001,United Kingdom,overview,03/09/2020,10
K02000001,United Kingdom,overview,02/09/2020,9
K02000001,United Kingdom,overview,01/09/2020,3
K02000001,United Kingdom,overview,31/08/2020,9
K02000001,United Kingdom,overview,30/08/2020,6
K02000001,United Kingdom,overview,29/08/2020,5
K02000001,United Kingdom,overview,28/08/2020,10
K02000001,United Kingdom,overview,27/08/2020,8
K02000001,United Kingdom,overview,26/08/2020,11
K02000001,United Kingdom,overview,25/08/2020,12
K02000001,United Kingdom,overview,24/08/2020,6
K02000001,United Kingdom,overview,23/08/2020,14
K02000001,United Kingdom,overview,22/08/2020,8
K02000001,United Kingdom,overview,21/08/2020,7
K02000001,United Kingdom,overview,20/08/2020,8
K02000001,United Kingdom,overview,19/08/2020,3
K02000001,United Kingdom,overview,18/08/2020,9
K02000001,United Kingdom,overview,17/08/2020,12
K02000001,United Kingdom,overview,16/08/2020,4
K02000001,United Kingdom,overview,15/08/2020,12
K02000001,United Kingdom,overview,14/08/2020,7
K02000001,United Kingdom,overview,13/08/2020,9
K02000001,United Kingdom,overview,12/08/2020,7
K02000001,United Kingdom,overview,11/08/2020,10
K02000001,United Kingdom,overview,10/08/2020,13
K02000001,United Kingdom,overview,09/08/2020,8
K02000001,United Kingdom,overview,08/08/2020,14
K02000001,United Kingdom,overview,07/08/2020,12
K02000001,United Kingdom,overview,06/08/2020,9
K02000001,United Kingdom,overview,05/08/2020,6
K02000001,United Kingdom,overview,04/08/2020,14
K02000001,United Kingdom,overview,03/08/2020,15
K02000001,United Kingdom,overview,02/08/2020,10
K02000001,United Kingdom,overview,01/08/2020,11
K02000001,United Kingdom,overview,31/07/2020,14
K02000001,United Kingdom,overview,30/07/2020,10
K02000001,United Kingdom,overview,29/07/2020,12
K02000001,United Kingdom,overview,28/07/2020,12
K02000001,United Kingdom,overview,27/07/2020,11
K02000001,United Kingdom,overview,26/07/2020,16
K02000001,United Kingdom,overview,25/07/2020,16
K02000001,United Kingdom,overview,24/07/2020,7
K02000001,United Kingdom,overview,23/07/2020,16
K02000001,United Kingdom,overview,22/07/2020,17
K02000001,United Kingdom,overview,21/07/2020,20
K02000001,United Kingdom,overview,20/07/2020,12
K02000001,United Kingdom,overview,19/07/2020,14
K02000001,United Kingdom,overview,18/07/2020,14
K02000001,United Kingdom,overview,17/07/2020,18
K02000001,United Kingdom,overview,16/07/2020,13
K02000001,United Kingdom,overview,15/07/2020,20
K02000001,United Kingdom,overview,14/07/2020,21
K02000001,United Kingdom,overview,13/07/2020,24
K02000001,United Kingdom,overview,12/07/2020,13
K02000001,United Kingdom,overview,11/07/2020,21
K02000001,United Kingdom,overview,10/07/2020,21
K02000001,United Kingdom,overview,09/07/2020,37
K02000001,United Kingdom,overview,08/07/2020,24
K02000001,United Kingdom,overview,07/07/2020,27
K02000001,United Kingdom,overview,06/07/2020,35
K02000001,United Kingdom,overview,05/07/2020,27
K02000001,United Kingdom,overview,04/07/2020,33
K02000001,United Kingdom,overview,03/07/2020,29
K02000001,United Kingdom,overview,02/07/2020,43
K02000001,United Kingdom,overview,01/07/2020,27
K02000001,United Kingdom,overview,30/06/2020,47
K02000001,United Kingdom,overview,29/06/2020,39
K02000001,United Kingdom,overview,28/06/2020,45
K02000001,United Kingdom,overview,27/06/2020,49
K02000001,United Kingdom,overview,26/06/2020,41
K02000001,United Kingdom,overview,25/06/2020,68
K02000001,United Kingdom,overview,24/06/2020,74
K02000001,United Kingdom,overview,23/06/2020,64
K02000001,United Kingdom,overview,22/06/2020,64
K02000001,United Kingdom,overview,21/06/2020,54
K02000001,United Kingdom,overview,20/06/2020,60
K02000001,United Kingdom,overview,19/06/2020,52
K02000001,United Kingdom,overview,18/06/2020,61
K02000001,United Kingdom,overview,17/06/2020,59
K02000001,United Kingdom,overview,16/06/2020,84
K02000001,United Kingdom,overview,15/06/2020,70
K02000001,United Kingdom,overview,14/06/2020,86
K02000001,United Kingdom,overview,13/06/2020,62
K02000001,United Kingdom,overview,12/06/2020,80
K02000001,United Kingdom,overview,11/06/2020,80
K02000001,United Kingdom,overview,10/06/2020,109
K02000001,United Kingdom,overview,09/06/2020,90
K02000001,United Kingdom,overview,08/06/2020,125
K02000001,United Kingdom,overview,07/06/2020,128
K02000001,United Kingdom,overview,06/06/2020,110
K02000001,United Kingdom,overview,05/06/2020,123
K02000001,United Kingdom,overview,04/06/2020,134
K02000001,United Kingdom,overview,03/06/2020,155
K02000001,United Kingdom,overview,02/06/2020,168
K02000001,United Kingdom,overview,01/06/2020,135
K02000001,United Kingdom,overview,31/05/2020,126
K02000001,United Kingdom,overview,30/05/2020,163
K02000001,United Kingdom,overview,29/05/2020,186
K02000001,United Kingdom,overview,28/05/2020,217
K02000001,United Kingdom,overview,27/05/2020,197
K02000001,United Kingdom,overview,26/05/2020,214
K02000001,United Kingdom,overview,25/05/2020,200
K02000001,United Kingdom,overview,24/05/2020,196
K02000001,United Kingdom,overview,23/05/2020,220
K02000001,United Kingdom,overview,22/05/2020,223
K02000001,United Kingdom,overview,21/05/2020,238
K02000001,United Kingdom,overview,20/05/2020,268
K02000001,United Kingdom,overview,19/05/2020,275
K02000001,United Kingdom,overview,18/05/2020,293
K02000001,United Kingdom,overview,17/05/2020,267
K02000001,United Kingdom,overview,16/05/2020,314
K02000001,United Kingdom,overview,15/05/2020,314
K02000001,United Kingdom,overview,14/05/2020,334
K02000001,United Kingdom,overview,13/05/2020,317
K02000001,United Kingdom,overview,12/05/2020,321
K02000001,United Kingdom,overview,11/05/2020,309
K02000001,United Kingdom,overview,10/05/2020,348
K02000001,United Kingdom,overview,09/05/2020,378
K02000001,United Kingdom,overview,08/05/2020,383
K02000001,United Kingdom,overview,07/05/2020,461
K02000001,United Kingdom,overview,06/05/2020,459
K02000001,United Kingdom,overview,05/05/2020,465
K02000001,United Kingdom,overview,04/05/2020,484
K02000001,United Kingdom,overview,03/05/2020,450
K02000001,United Kingdom,overview,02/05/2020,494
K02000001,United Kingdom,overview,01/05/2020,568
K02000001,United Kingdom,overview,30/04/2020,551
K02000001,United Kingdom,overview,29/04/2020,572
K02000001,United Kingdom,overview,28/04/2020,561
K02000001,United Kingdom,overview,27/04/2020,594
K02000001,United Kingdom,overview,26/04/2020,633
K02000001,United Kingdom,overview,25/04/2020,647
K02000001,United Kingdom,overview,24/04/2020,683
K02000001,United Kingdom,overview,23/04/2020,678
K02000001,United Kingdom,overview,22/04/2020,731
K02000001,United Kingdom,overview,21/04/2020,745
K02000001,United Kingdom,overview,20/04/2020,783
K02000001,United Kingdom,overview,19/04/2020,769
K02000001,United Kingdom,overview,18/04/2020,800
K02000001,United Kingdom,overview,17/04/2020,819
K02000001,United Kingdom,overview,16/04/2020,844
K02000001,United Kingdom,overview,15/04/2020,878
K02000001,United Kingdom,overview,14/04/2020,857
K02000001,United Kingdom,overview,13/04/2020,896
K02000001,United Kingdom,overview,12/04/2020,959
K02000001,United Kingdom,overview,11/04/2020,956
K02000001,United Kingdom,overview,10/04/2020,944
K02000001,United Kingdom,overview,09/04/2020,1001
K02000001,United Kingdom,overview,08/04/2020,1076
K02000001,United Kingdom,overview,07/04/2020,999
K02000001,United Kingdom,overview,06/04/2020,895
K02000001,United Kingdom,overview,05/04/2020,917
K02000001,United Kingdom,overview,04/04/2020,906
K02000001,United Kingdom,overview,03/04/2020,840
K02000001,United Kingdom,overview,02/04/2020,806
K02000001,United Kingdom,overview,01/04/2020,769
K02000001,United Kingdom,overview,31/03/2020,661
K02000001,United Kingdom,overview,30/03/2020,591
K02000001,United Kingdom,overview,29/03/2020,506
K02000001,United Kingdom,overview,28/03/2020,436
K02000001,United Kingdom,overview,27/03/2020,398
K02000001,United Kingdom,overview,26/03/2020,362
K02000001,United Kingdom,overview,25/03/2020,303
K02000001,United Kingdom,overview,24/03/2020,237
K02000001,United Kingdom,overview,23/03/2020,186
K02000001,United Kingdom,overview,22/03/2020,164
K02000001,United Kingdom,overview,21/03/2020,130
K02000001,United Kingdom,overview,20/03/2020,109
K02000001,United Kingdom,overview,19/03/2020,74
K02000001,United Kingdom,overview,18/03/2020,68
K02000001,United Kingdom,overview,17/03/2020,52
K02000001,United Kingdom,overview,16/03/2020,47
K02000001,United Kingdom,overview,15/03/2020,32
K02000001,United Kingdom,overview,14/03/2020,22
K02000001,United Kingdom,overview,13/03/2020,16
K02000001,United Kingdom,overview,12/03/2020,13
K02000001,United Kingdom,overview,11/03/2020,8
K02000001,United Kingdom,overview,10/03/2020,3
K02000001,United Kingdom,overview,09/03/2020,5
K02000001,United Kingdom,overview,08/03/2020,3
K02000001,United Kingdom,overview,07/03/2020,0
K02000001,United Kingdom,overview,06/03/2020,0
K02000001,United Kingdom,overview,05/03/2020,3
K02000001,United Kingdom,overview,04/03/2020,0
K02000001,United Kingdom,overview,03/03/2020,2
